date,source_ip,destination_ip,total_flow_duration,total_forward_packets
2022-12-06,108.137.181.26,192.168.20.48,1214,1
2022-12-06,13.246.0.149,192.168.20.48,1271,1
2022-12-06,13.246.174.39,192.168.20.48,1522,1
2022-12-06,151.101.1.16,192.168.20.43,14437,16
2022-12-06,172.217.18.206,192.168.20.42,54735,2
2022-12-06,18.155.126.209,192.168.20.43,720,8
2022-12-06,18.155.126.209,192.168.20.48,3343,6
2022-12-06,18.155.131.56,192.168.20.43,59971945,4
2022-12-06,18.163.70.120,192.168.20.48,2761,2
2022-12-06,18.164.55.101,192.168.20.43,4684,1
2022-12-06,18.167.1.113,192.168.20.48,2675,2
2022-12-06,18.203.57.224,192.168.20.48,2235907197,207
2022-12-06,192.168.20.10,35.195.102.202,3371552931,470
2022-12-06,192.168.20.12,18.192.43.219,3060239673,134
2022-12-06,192.168.20.12,255.255.255.255,3495057016,729
2022-12-06,192.168.20.13,255.255.255.255,3505052042,731
2022-12-06,192.168.20.13,3.65.95.68,2703561184,134
2022-12-06,192.168.20.15,255.255.255.255,3540011195,1210
2022-12-06,192.168.20.15,3.122.18.69,3061010893,138
2022-12-06,192.168.20.18,129.6.15.28,9093846,5
2022-12-06,192.168.20.18,51.195.117.133,12075993,6
2022-12-06,192.168.20.18,52.30.162.139,384224,36
2022-12-06,192.168.20.19,108.128.53.179,542305070,162
2022-12-06,192.168.20.19,120.25.115.20,264623,1
2022-12-06,192.168.20.19,173.194.76.206,2814724939,128
2022-12-06,192.168.20.19,216.239.35.0,5563,1
2022-12-06,192.168.20.19,216.239.35.12,12117,1
2022-12-06,192.168.20.19,216.239.35.4,5763,1
2022-12-06,192.168.20.19,216.239.35.8,5483,1
2022-12-06,192.168.20.19,224.0.0.22,14580201,60
2022-12-06,192.168.20.19,224.0.0.251,1858548361,62
2022-12-06,192.168.20.19,239.255.255.250,2431400912,432
2022-12-06,192.168.20.19,34.117.13.189,2840778098,162
2022-12-06,192.168.20.19,52.210.32.69,695445659,263
2022-12-06,192.168.20.19,54.171.25.87,28231787,82
2022-12-06,192.168.20.19,54.217.52.155,540323625,161
2022-12-06,192.168.20.19,54.74.123.186,21310685,58
2022-12-06,192.168.20.19,54.77.112.89,83202,10
2022-12-06,192.168.20.19,54.77.51.148,204452,20
2022-12-06,192.168.20.19,54.78.125.193,14424949,37
2022-12-06,192.168.20.19,8.8.4.4,162242,44
2022-12-06,192.168.20.19,8.8.8.8,197988,47
2022-12-06,192.168.20.20,224.0.0.251,92931,2
2022-12-06,192.168.20.20,8.8.8.8,25142,2
2022-12-06,192.168.20.20,99.80.0.240,2420651622,132
2022-12-06,192.168.20.254,239.255.255.250,131586,40
2022-12-06,192.168.20.42,172.217.18.206,135917774,38
2022-12-06,192.168.20.42,192.168.20.1,1864533405,116
2022-12-06,192.168.20.42,216.239.35.0,5734,1
2022-12-06,192.168.20.42,216.239.35.12,24327,2
2022-12-06,192.168.20.42,216.239.35.4,5438,1
2022-12-06,192.168.20.42,216.239.35.8,5491,1
2022-12-06,192.168.20.42,216.58.213.74,5165534,23
2022-12-06,192.168.20.42,216.58.214.163,3482126700,305
2022-12-06,192.168.20.42,224.0.0.250,1800262300,60
2022-12-06,192.168.20.42,224.0.0.251,2024879354,305
2022-12-06,192.168.20.42,239.255.255.251,1800240861,60
2022-12-06,192.168.20.42,255.255.255.255,3780666212,121
2022-12-06,192.168.20.42,64.233.184.188,5164212004,205
2022-12-06,192.168.20.42,8.8.8.8,1865123962,245
2022-12-06,192.168.20.43,104.199.65.124,2740368704,270
2022-12-06,192.168.20.43,151.101.1.16,73665174,296
2022-12-06,192.168.20.43,18.155.126.209,910636,64
2022-12-06,192.168.20.43,18.155.127.135,60196969,69
2022-12-06,192.168.20.43,18.155.131.56,120444005,57
2022-12-06,192.168.20.43,18.164.55.101,114110331,11
2022-12-06,192.168.20.43,184.73.130.219,431,2
2022-12-06,192.168.20.43,192.168.20.1,188362,60
2022-12-06,192.168.20.43,224.0.0.251,365671902,19
2022-12-06,192.168.20.43,239.255.255.250,1285583,51
2022-12-06,192.168.20.43,255.255.255.255,94,3
2022-12-06,192.168.20.43,3.208.210.255,109335805,14
2022-12-06,192.168.20.43,3.218.120.56,219748233,28
2022-12-06,192.168.20.43,3.220.6.227,125575385,14
2022-12-06,192.168.20.43,3.229.228.181,110838639,14
2022-12-06,192.168.20.43,3.232.21.156,60160974,4
2022-12-06,192.168.20.43,34.227.127.81,108994007,14
2022-12-06,192.168.20.43,34.232.93.236,3778279,15
2022-12-06,192.168.20.43,34.239.216.180,3808101,24
2022-12-06,192.168.20.43,35.166.62.210,114070299,17
2022-12-06,192.168.20.43,35.167.225.196,8665593,19
2022-12-06,192.168.20.43,44.197.43.221,3740274,16
2022-12-06,192.168.20.43,44.207.110.97,65452216,10
2022-12-06,192.168.20.43,44.240.184.205,17314782,36
2022-12-06,192.168.20.43,52.204.152.47,3587681,22
2022-12-06,192.168.20.43,52.222.145.55,60217706,25
2022-12-06,192.168.20.43,52.222.193.55,76556,8
2022-12-06,192.168.20.43,52.3.30.207,111031227,14
2022-12-06,192.168.20.43,52.39.190.49,9497049,38
2022-12-06,192.168.20.43,52.44.174.14,109255126,14
2022-12-06,192.168.20.43,52.46.131.184,112239742,11
2022-12-06,192.168.20.43,52.46.137.106,403697,12
2022-12-06,192.168.20.43,52.6.28.164,108940747,14
2022-12-06,192.168.20.43,52.70.101.206,11866705,57
2022-12-06,192.168.20.43,52.73.50.224,132,2
2022-12-06,192.168.20.43,52.94.228.85,162134,4
2022-12-06,192.168.20.43,52.95.126.126,114263998,14
2022-12-06,192.168.20.43,54.161.84.13,4443795,25
2022-12-06,192.168.20.43,54.166.238.29,108750370,14
2022-12-06,192.168.20.43,54.208.87.93,109149569,14
2022-12-06,192.168.20.43,54.224.213.223,1821716416,80
2022-12-06,192.168.20.43,54.70.5.180,8672492,19
2022-12-06,192.168.20.43,8.8.8.8,398051,42
2022-12-06,192.168.20.45,239.255.255.250,2820411213,860
2022-12-06,192.168.20.45,52.9.40.194,2737096663,242
2022-12-06,192.168.20.48,104.199.65.124,3415785967,756
2022-12-06,192.168.20.48,108.137.181.26,890408,17
2022-12-06,192.168.20.48,13.246.0.149,643563,18
2022-12-06,192.168.20.48,13.246.174.39,632949,17
2022-12-06,192.168.20.48,18.155.126.209,1606545,72
2022-12-06,192.168.20.48,18.155.131.56,137744,19
2022-12-06,192.168.20.48,18.163.70.120,2152485,34
2022-12-06,192.168.20.48,18.167.1.113,2091021,36
2022-12-06,192.168.20.48,18.203.57.224,845954089,102
2022-12-06,192.168.20.48,192.168.20.1,80246,60
2022-12-06,192.168.20.48,3.226.156.103,1821452418,80
2022-12-06,192.168.20.48,3.76.1.196,89756,17
2022-12-06,192.168.20.48,52.20.206.121,361262,17
2022-12-06,192.168.20.48,52.46.155.112,381328,14
2022-12-06,192.168.20.48,52.76.51.147,816383,17
2022-12-06,192.168.20.48,52.79.118.208,1089300,18
2022-12-06,192.168.20.48,54.157.203.98,2779440,178
2022-12-06,192.168.20.48,54.193.16.2,664539,17
2022-12-06,192.168.20.48,54.205.24.65,373802,25
2022-12-06,192.168.20.48,54.221.200.137,363064,17
2022-12-06,192.168.20.48,54.232.199.45,891200,17
2022-12-06,192.168.20.48,8.8.8.8,152187,23
2022-12-06,3.76.1.196,192.168.20.48,1051,1
2022-12-06,52.20.206.121,192.168.20.48,1162,1
2022-12-06,52.210.32.69,192.168.20.19,66,2
2022-12-06,52.214.227.89,192.168.20.43,3181433270,472
2022-12-06,52.222.145.55,192.168.20.43,59971809,2
2022-12-06,52.222.193.55,192.168.20.43,59973020,2
2022-12-06,52.39.190.49,192.168.20.43,1995,1
2022-12-06,52.46.137.106,192.168.20.43,5968,3
2022-12-06,52.76.51.147,192.168.20.48,1046,1
2022-12-06,52.79.118.208,192.168.20.48,1304,1
2022-12-06,52.95.126.126,192.168.20.43,2677,1
2022-12-06,54.157.203.98,192.168.20.48,27610,6
2022-12-06,54.193.16.2,192.168.20.48,1132,1
2022-12-06,54.205.24.65,192.168.20.48,1150,1
2022-12-06,54.217.52.155,192.168.20.19,119570618,13
2022-12-06,54.221.200.137,192.168.20.48,1207,1
2022-12-06,54.232.199.45,192.168.20.48,5117,1
2022-12-06,54.77.112.89,192.168.20.19,904,2
2022-12-06,54.77.51.148,192.168.20.19,1875,4
2022-12-06,8.6.0.1,8.0.6.4,3507162364,1782
2022-12-07,0.0.0.0,255.255.255.255,1237568,8
2022-12-07,100.21.0.103,192.168.20.43,272,6
2022-12-07,108.136.92.85,192.168.20.48,8401,7
2022-12-07,108.137.181.26,192.168.20.48,75361,6
2022-12-07,108.137.188.162,192.168.20.48,9175,4
2022-12-07,13.125.158.78,192.168.20.48,2464,2
2022-12-07,13.245.125.189,192.168.20.48,41772,9
2022-12-07,13.246.0.149,192.168.20.48,12021,4
2022-12-07,13.246.174.39,192.168.20.48,5506,3
2022-12-07,13.37.191.91,192.168.20.48,4631,3
2022-12-07,13.48.15.205,192.168.20.48,4639,4
2022-12-07,13.50.30.171,192.168.20.48,5264,5
2022-12-07,13.54.168.82,192.168.20.48,93316,3
2022-12-07,142.250.178.138,192.168.20.42,1955,6
2022-12-07,142.250.178.142,192.168.20.42,10246,1
2022-12-07,142.250.179.106,192.168.20.42,4485,2
2022-12-07,142.250.179.112,192.168.20.42,4974,3
2022-12-07,142.250.179.67,192.168.20.42,2094,3
2022-12-07,142.250.179.74,192.168.20.42,95,2
2022-12-07,142.250.179.99,192.168.20.42,11866,4
2022-12-07,142.250.201.170,192.168.20.42,3754,6
2022-12-07,142.250.201.174,192.168.20.42,1556,1
2022-12-07,142.250.75.234,192.168.20.42,8865,9
2022-12-07,142.250.75.238,192.168.20.42,9730,24
2022-12-07,15.161.86.203,192.168.20.48,9851,3
2022-12-07,15.168.33.159,192.168.20.48,1226,1
2022-12-07,15.184.245.166,192.168.20.48,15657,4
2022-12-07,15.188.36.183,192.168.20.48,18033,7
2022-12-07,15.222.185.72,192.168.20.48,30047,2
2022-12-07,15.236.150.135,192.168.20.48,10883,3
2022-12-07,151.101.1.16,192.168.20.43,10442,43
2022-12-07,157.175.241.61,192.168.20.48,6976,5
2022-12-07,157.241.5.46,192.168.20.48,35081,3
2022-12-07,16.16.59.238,192.168.20.48,24604,3
2022-12-07,16.163.233.23,192.168.20.48,6138,4
2022-12-07,172.217.18.202,192.168.20.42,2471,1
2022-12-07,172.217.18.206,192.168.20.42,90174498,13
2022-12-07,172.217.18.206,192.168.20.43,1051,1
2022-12-07,173.194.76.206,192.168.20.19,590,2
2022-12-07,178.236.7.140,192.168.20.43,2409,2
2022-12-07,18.102.55.180,192.168.20.48,24490,8
2022-12-07,18.102.88.160,192.168.20.48,24860,9
2022-12-07,18.134.222.161,192.168.20.48,13227,6
2022-12-07,18.140.188.91,192.168.20.48,6498,3
2022-12-07,18.155.126.209,192.168.20.43,29229,158
2022-12-07,18.155.126.209,192.168.20.48,173795,183
2022-12-07,18.155.131.56,192.168.20.43,119936986,4
2022-12-07,18.156.17.11,192.168.20.48,10340,4
2022-12-07,18.163.70.120,192.168.20.48,6967,6
2022-12-07,18.164.55.101,192.168.20.43,6534,3
2022-12-07,18.164.55.110,192.168.20.43,18441,6
2022-12-07,18.164.55.40,192.168.20.43,59966658,4
2022-12-07,18.164.55.96,192.168.20.43,1130,1
2022-12-07,18.167.1.113,192.168.20.48,25150,2
2022-12-07,18.203.57.224,192.168.20.43,254,4
2022-12-07,18.203.57.224,192.168.20.48,4632,16
2022-12-07,18.214.180.6,192.168.20.48,33104,14
2022-12-07,18.216.180.71,192.168.20.48,5498,4
2022-12-07,18.229.75.205,192.168.20.48,5877,5
2022-12-07,192.168.20.1,192.168.20.40,3794,6
2022-12-07,192.168.20.1,224.0.0.251,11869697,24
2022-12-07,192.168.20.10,35.195.102.202,78062263096,40003
2022-12-07,192.168.20.12,18.192.43.219,68634725404,2932
2022-12-07,192.168.20.12,18.195.249.137,604853,40
2022-12-07,192.168.20.12,255.255.255.255,78210311592,16311
2022-12-07,192.168.20.13,255.255.255.255,78200432479,16309
2022-12-07,192.168.20.13,3.121.131.36,460587,30
2022-12-07,192.168.20.13,3.65.95.68,67862137860,2950
2022-12-07,192.168.20.15,18.193.22.4,202382,17
2022-12-07,192.168.20.15,255.255.255.255,79550702725,27189
2022-12-07,192.168.20.15,3.122.18.69,61768715092,2924
2022-12-07,192.168.20.18,129.6.15.28,215445655,116
2022-12-07,192.168.20.18,51.195.117.133,270236523,135
2022-12-07,192.168.20.18,52.30.162.139,9128799,834
2022-12-07,192.168.20.19,108.128.53.179,15122058875,4400
2022-12-07,192.168.20.19,120.25.115.20,3972779,15
2022-12-07,192.168.20.19,173.194.76.206,61595293424,2804
2022-12-07,192.168.20.19,203.107.6.88,3782945,20
2022-12-07,192.168.20.19,216.239.35.0,107070,19
2022-12-07,192.168.20.19,216.239.35.12,233900,19
2022-12-07,192.168.20.19,216.239.35.4,107637,19
2022-12-07,192.168.20.19,216.239.35.8,106092,19
2022-12-07,192.168.20.19,224.0.0.22,367323532,1356
2022-12-07,192.168.20.19,224.0.0.251,41112878264,1442
2022-12-07,192.168.20.19,239.255.255.250,54451105445,9660
2022-12-07,192.168.20.19,34.117.13.189,63866748783,3679
2022-12-07,192.168.20.19,52.210.32.69,13130935045,3839
2022-12-07,192.168.20.19,54.171.25.87,280869514,755
2022-12-07,192.168.20.19,54.217.52.155,15336182286,4436
2022-12-07,192.168.20.19,54.74.123.186,341107458,938
2022-12-07,192.168.20.19,54.77.112.89,2687454,336
2022-12-07,192.168.20.19,54.77.51.148,2859815,345
2022-12-07,192.168.20.19,54.78.125.193,351774968,959
2022-12-07,192.168.20.19,8.8.4.4,3542532,947
2022-12-07,192.168.20.19,8.8.8.8,4315755,1230
2022-12-07,192.168.20.20,224.0.0.251,1743960,46
2022-12-07,192.168.20.20,34.254.122.144,10894035537,608
2022-12-07,192.168.20.20,54.194.135.95,889088,11
2022-12-07,192.168.20.20,8.8.8.8,288520,10
2022-12-07,192.168.20.20,99.80.0.240,43493459848,2804
2022-12-07,192.168.20.254,239.255.255.250,3373298,984
2022-12-07,192.168.20.40,192.168.20.42,3134,1
2022-12-07,192.168.20.40,255.255.255.255,4986720793,165
2022-12-07,192.168.20.42,142.250.178.138,112241570,373
2022-12-07,192.168.20.42,142.250.178.142,216534190,160
2022-12-07,192.168.20.42,142.250.179.106,205732286,87
2022-12-07,192.168.20.42,142.250.179.110,48816287,54
2022-12-07,192.168.20.42,142.250.179.112,436151133,285
2022-12-07,192.168.20.42,142.250.179.67,195241368,45
2022-12-07,192.168.20.42,142.250.179.74,118526449,148
2022-12-07,192.168.20.42,142.250.179.99,410651997,200
2022-12-07,192.168.20.42,142.250.201.170,376662544,105
2022-12-07,192.168.20.42,142.250.201.174,80992190,19
2022-12-07,192.168.20.42,142.250.75.234,195519590,257
2022-12-07,192.168.20.42,142.250.75.238,5269420,531
2022-12-07,192.168.20.42,151.101.194.217,429593940,31
2022-12-07,192.168.20.42,172.217.18.202,230230219,44
2022-12-07,192.168.20.42,172.217.18.206,8853589574,1811
2022-12-07,192.168.20.42,173.194.76.101,321921,41
2022-12-07,192.168.20.42,192.168.20.1,41442672602,2609
2022-12-07,192.168.20.42,199.232.58.248,272826053,91
2022-12-07,192.168.20.42,216.239.35.0,79180,14
2022-12-07,192.168.20.42,216.239.35.12,304184,25
2022-12-07,192.168.20.42,216.239.35.4,156384,28
2022-12-07,192.168.20.42,216.239.35.8,105974,19
2022-12-07,192.168.20.42,216.58.213.74,13299200,110
2022-12-07,192.168.20.42,216.58.214.163,76749499016,6893
2022-12-07,192.168.20.42,216.58.214.166,194984347,20
2022-12-07,192.168.20.42,216.58.214.170,181793355,125
2022-12-07,192.168.20.42,216.58.214.74,246555419,59
2022-12-07,192.168.20.42,224.0.0.22,51278632,7
2022-12-07,192.168.20.42,224.0.0.250,41621443867,1359
2022-12-07,192.168.20.42,224.0.0.251,48723539550,6841
2022-12-07,192.168.20.42,239.255.255.251,41318392682,1348
2022-12-07,192.168.20.42,255.255.255.255,87944913066,2714
2022-12-07,192.168.20.42,34.104.35.123,411053178,9721
